schema_version,external_id,question_revision,lesson_id,lesson_code,subtopic_id,subtopic_code,secondary_subtopic_ids,question_type,stem,stem_locale,option_a,option_b,option_c,option_d,option_locale,correct_option,full_explanation,explanation_a,explanation_b,explanation_c,explanation_d,explanation_locale,misconception_a_id,misconception_b_id,misconception_c_id,misconception_d_id,difficulty,difficulty_score_initial,difficulty_model_version,status,source_type,source_ref,author_id,reviewer_id,tags,media_type,media_uri,media_alt_text,media_transcript,media_source_ref,taxonomy_version,question_type_catalogue_version,compatibility_version,distractor_rules_version,content_version
ADV-QB-SCHEMA-v1.0,GMP-ADV-B089-Q001,1,ADV-L19,ADV_INDEFINITE_PRONOUNS,ADV-L19-ST01,ADV_L19_INDEF_IMPRECISION,,PRONOUN_CHOICE,"Au standard, ___ demande à parler au directeur, mais la personne n'a pas donné son nom.",fr,quelqu'un,quelque chose,personne,les mêmes,fr,A,"« quelqu’un » désigne ici une personne non identifiée, ce qui correspond à l’imprécision totale présentée dans la leçon.","« quelqu’un » désigne ici une personne non identifiée, ce qui correspond à l’imprécision totale présentée dans la leçon.","« quelque chose » renvoie à une chose, non à une personne.",« personne » exprime une quantité nulle dans une construction négative.,« les mêmes » exprime l’identité d’éléments déjà mentionnés.,fr,,ADV-L19-MC01,ADV-L19-MC01,ADV-L19-MC01,EASY,0.25,ADV-DIFFICULTY-v1.0,READY_FOR_IMPORT,BOOK_RULE_DERIVED,ADV-L19:book-p126-p127:indef-imprecision,openai-gpt-5.6-sol,openai-gpt-5.6-sol-qa,ADV|L19|ADV_L19_INDEF_IMPRECISION|PRONOUN_CHOICE,NONE,,,,,ADV-TAXONOMY-v1.0,ADV-QTYPE-v1.0,ADV-COMPAT-v1.0,ADV-DISTRACTOR-v1.0,ADV-CONTENT-v1.0
ADV-QB-SCHEMA-v1.0,GMP-ADV-B089-Q002,1,ADV-L19,ADV_INDEFINITE_PRONOUNS,ADV-L19-ST01,ADV_L19_INDEF_IMPRECISION,,PRONOUN_CHOICE,"J'ai trouvé ___ sous le siège, mais je ne sais pas ce que c'est.",fr,quelqu'un,quelque chose,chacun,certains,fr,B,« quelque chose » sert à désigner une chose dont l’identité n’est pas précisée.,« quelqu’un » désigne une personne.,« quelque chose » sert à désigner une chose dont l’identité n’est pas précisée.,« chacun » exprime une totalité distributive.,« certains » reprend un ensemble de personnes ou de choses en quantité indéterminée.,fr,ADV-L19-MC01,,ADV-L19-MC01,ADV-L19-MC01,MEDIUM,0.50,ADV-DIFFICULTY-v1.0,READY_FOR_IMPORT,BOOK_RULE_DERIVED,ADV-L19:book-p126-p127:indef-imprecision,openai-gpt-5.6-sol,openai-gpt-5.6-sol-qa,ADV|L19|ADV_L19_INDEF_IMPRECISION|PRONOUN_CHOICE,NONE,,,,,ADV-TAXONOMY-v1.0,ADV-QTYPE-v1.0,ADV-COMPAT-v1.0,ADV-DISTRACTOR-v1.0,ADV-CONTENT-v1.0
ADV-QB-SCHEMA-v1.0,GMP-ADV-B089-Q003,1,ADV-L19,ADV_INDEFINITE_PRONOUNS,ADV-L19-ST01,ADV_L19_INDEF_IMPRECISION,,PRONOUN_CHOICE,"À cette heure-ci, ___ frappe encore à l'entrée de l'immeuble.",fr,quelque chose,les autres,on,rien,fr,C,« on » peut désigner une personne non précisée lorsqu’on ne l’identifie pas.,« quelque chose » ne peut pas être l’agent humain de « frapper » dans ce contexte.,« les autres » suppose un groupe déjà opposé à un premier sous-groupe.,« on » peut désigner une personne non précisée lorsqu’on ne l’identifie pas.,« rien » exprime l’absence de chose et s’emploie avec la négation. ,fr,ADV-L19-MC01,ADV-L19-MC01,,ADV-L19-MC01,MEDIUM,0.50,ADV-DIFFICULTY-v1.0,READY_FOR_IMPORT,BOOK_RULE_DERIVED,ADV-L19:book-p126-p127:indef-imprecision,openai-gpt-5.6-sol,openai-gpt-5.6-sol-qa,ADV|L19|ADV_L19_INDEF_IMPRECISION|PRONOUN_CHOICE,NONE,,,,,ADV-TAXONOMY-v1.0,ADV-QTYPE-v1.0,ADV-COMPAT-v1.0,ADV-DISTRACTOR-v1.0,ADV-CONTENT-v1.0
ADV-QB-SCHEMA-v1.0,GMP-ADV-B089-Q004,1,ADV-L19,ADV_INDEFINITE_PRONOUNS,ADV-L19-ST01,ADV_L19_INDEF_IMPRECISION,,PRONOUN_CHOICE,"Je passerai vous voir ___, quand mon emploi du temps sera moins chargé.",fr,personne,les mêmes,quelques-unes,un de ces jours,fr,D,"« un de ces jours » exprime un moment futur non précisé, comme dans la valeur d’imprécision totale de la leçon.",« personne » ne désigne pas un moment futur.,"« les mêmes » marque l’identité, pas un repère temporel.",« quelques-unes » reprend un nom féminin pluriel. ,"« un de ces jours » exprime un moment futur non précisé, comme dans la valeur d’imprécision totale de la leçon.",fr,ADV-L19-MC01,ADV-L19-MC01,ADV-L19-MC01,,HARD,0.75,ADV-DIFFICULTY-v1.0,READY_FOR_IMPORT,BOOK_RULE_DERIVED,ADV-L19:book-p126-p127:indef-imprecision,openai-gpt-5.6-sol,openai-gpt-5.6-sol-qa,ADV|L19|ADV_L19_INDEF_IMPRECISION|PRONOUN_CHOICE,NONE,,,,,ADV-TAXONOMY-v1.0,ADV-QTYPE-v1.0,ADV-COMPAT-v1.0,ADV-DISTRACTOR-v1.0,ADV-CONTENT-v1.0
ADV-QB-SCHEMA-v1.0,GMP-ADV-B089-Q005,1,ADV-L19,ADV_INDEFINITE_PRONOUNS,ADV-L19-ST01,ADV_L19_INDEF_IMPRECISION,,CLOZE_SINGLE,La réunion a été interrompue par ___ d'imprévu.,fr,quelque chose,quelqu'un,personne,tous,fr,A,"Après « quelque chose », l’adjectif est introduit par « de » : « quelque chose d’imprévu ».","Après « quelque chose », l’adjectif est introduit par « de » : « quelque chose d’imprévu ».",« quelqu’un » désignerait une personne et ne correspond pas au sens de l’énoncé.,« personne » appartient à la négation et désigne une quantité nulle de personnes.,« tous » reprend une totalité plurielle. ,fr,,ADV-L19-MC01,ADV-L19-MC01,ADV-L19-MC01,VERY_HARD,1.00,ADV-DIFFICULTY-v1.0,READY_FOR_IMPORT,BOOK_RULE_DERIVED,ADV-L19:book-p126-p127:indef-imprecision,openai-gpt-5.6-sol,openai-gpt-5.6-sol-qa,ADV|L19|ADV_L19_INDEF_IMPRECISION|CLOZE_SINGLE,NONE,,,,,ADV-TAXONOMY-v1.0,ADV-QTYPE-v1.0,ADV-COMPAT-v1.0,ADV-DISTRACTOR-v1.0,ADV-CONTENT-v1.0
ADV-QB-SCHEMA-v1.0,GMP-ADV-B089-Q006,1,ADV-L19,ADV_INDEFINITE_PRONOUNS,ADV-L19-ST01,ADV_L19_INDEF_IMPRECISION,,CLOZE_SINGLE,Le témoin semblait être ___ de très discret.,fr,quelque chose,quelqu'un,rien,les autres,fr,B,La leçon indique que « quelqu’un » peut être suivi de « de + adjectif » : « quelqu’un de très discret ».,"« quelque chose » désigne une chose, pas un témoin humain.",La leçon indique que « quelqu’un » peut être suivi de « de + adjectif » : « quelqu’un de très discret ».,« rien » exprime une quantité nulle et ne convient pas dans cette phrase affirmative.,« les autres » renvoie à plusieurs éléments d’un groupe déjà opposé. ,fr,ADV-L19-MC01,,ADV-L19-MC01,ADV-L19-MC01,EASY,0.25,ADV-DIFFICULTY-v1.0,READY_FOR_IMPORT,BOOK_RULE_DERIVED,ADV-L19:book-p126-p127:indef-imprecision,openai-gpt-5.6-sol,openai-gpt-5.6-sol-qa,ADV|L19|ADV_L19_INDEF_IMPRECISION|CLOZE_SINGLE,NONE,,,,,ADV-TAXONOMY-v1.0,ADV-QTYPE-v1.0,ADV-COMPAT-v1.0,ADV-DISTRACTOR-v1.0,ADV-CONTENT-v1.0
ADV-QB-SCHEMA-v1.0,GMP-ADV-B089-Q007,1,ADV-L19,ADV_INDEFINITE_PRONOUNS,ADV-L19-ST01,ADV_L19_INDEF_IMPRECISION,,CLOZE_CONTEXT,Un message anonyme a été glissé sous la porte. ___ a donc voulu nous prévenir sans se faire connaître.,fr,Quelque chose,Personne,Quelqu'un,Tous,fr,C,Le contexte impose un auteur humain non identifié : « quelqu’un ».,« quelque chose » ne désigne pas une personne qui veut prévenir.,"« personne » signifierait qu’aucun auteur humain n’existe, ce qui contredit le message reçu.",Le contexte impose un auteur humain non identifié : « quelqu’un ».,« tous » désignerait la totalité d’un groupe. ,fr,ADV-L19-MC01,ADV-L19-MC01,,ADV-L19-MC01,MEDIUM,0.50,ADV-DIFFICULTY-v1.0,READY_FOR_IMPORT,BOOK_RULE_DERIVED,ADV-L19:book-p126-p127:indef-imprecision,openai-gpt-5.6-sol,openai-gpt-5.6-sol-qa,ADV|L19|ADV_L19_INDEF_IMPRECISION|CLOZE_CONTEXT,NONE,,,,,ADV-TAXONOMY-v1.0,ADV-QTYPE-v1.0,ADV-COMPAT-v1.0,ADV-DISTRACTOR-v1.0,ADV-CONTENT-v1.0
ADV-QB-SCHEMA-v1.0,GMP-ADV-B089-Q008,1,ADV-L19,ADV_INDEFINITE_PRONOUNS,ADV-L19-ST01,ADV_L19_INDEF_IMPRECISION,,CLOZE_CONTEXT,"Dans le carton, il reste ___. Je ne peux pas identifier l'objet sans l'ouvrir complètement.",fr,quelqu'un,chacun,personne,quelque chose,fr,D,Le référent est une chose non identifiée : « quelque chose ».,« quelqu’un » désigne une personne.,« chacun » suppose un ensemble dont on considère les membres un à un.,« personne » désigne une quantité nulle de personnes. ,Le référent est une chose non identifiée : « quelque chose ».,fr,ADV-L19-MC01,ADV-L19-MC01,ADV-L19-MC01,,MEDIUM,0.50,ADV-DIFFICULTY-v1.0,READY_FOR_IMPORT,BOOK_RULE_DERIVED,ADV-L19:book-p126-p127:indef-imprecision,openai-gpt-5.6-sol,openai-gpt-5.6-sol-qa,ADV|L19|ADV_L19_INDEF_IMPRECISION|CLOZE_CONTEXT,NONE,,,,,ADV-TAXONOMY-v1.0,ADV-QTYPE-v1.0,ADV-COMPAT-v1.0,ADV-DISTRACTOR-v1.0,ADV-CONTENT-v1.0
ADV-QB-SCHEMA-v1.0,GMP-ADV-B089-Q009,1,ADV-L19,ADV_INDEFINITE_PRONOUNS,ADV-L19-ST01,ADV_L19_INDEF_IMPRECISION,,CORRECT_SENTENCE,Quelle phrase respecte la construction présentée avec « quelqu'un » suivi d'un adjectif ?,fr,Nous cherchons quelqu'un de fiable pour garder les clés.,Nous cherchons quelqu'un fiable de pour garder les clés.,Nous cherchons de quelqu'un fiable pour garder les clés.,Nous cherchons quelqu'un de fiablement pour garder les clés.,fr,A,"Avec « quelqu’un » suivi d’un adjectif, la leçon donne la structure « quelqu’un de + adjectif ».","Avec « quelqu’un » suivi d’un adjectif, la leçon donne la structure « quelqu’un de + adjectif ».",La préposition « de » n’encadre pas ainsi l’adjectif.,« de » ne se place pas avant « quelqu’un » dans cette structure.,"La structure appelle un adjectif, non un adverbe. ",fr,,ADV-L19-MC01,ADV-L19-MC01,ADV-L19-MC01,HARD,0.75,ADV-DIFFICULTY-v1.0,READY_FOR_IMPORT,BOOK_RULE_DERIVED,ADV-L19:book-p126-p127:indef-imprecision,openai-gpt-5.6-sol,openai-gpt-5.6-sol-qa,ADV|L19|ADV_L19_INDEF_IMPRECISION|CORRECT_SENTENCE,NONE,,,,,ADV-TAXONOMY-v1.0,ADV-QTYPE-v1.0,ADV-COMPAT-v1.0,ADV-DISTRACTOR-v1.0,ADV-CONTENT-v1.0
ADV-QB-SCHEMA-v1.0,GMP-ADV-B089-Q010,1,ADV-L19,ADV_INDEFINITE_PRONOUNS,ADV-L19-ST01,ADV_L19_INDEF_IMPRECISION,,INCORRECT_SENTENCE,Une seule phrase ne respecte pas la construction de la leçon. Laquelle ?,fr,On a laissé un message à l'accueil.,Ils ont découvert quelque chose intéressante dans l'archive.,Quelqu'un de prudent a signalé l'erreur.,Je reviendrai un de ces jours.,fr,B,On attend « quelque chose d’intéressant » : « quelque chose » est suivi de « de + adjectif ».,« on » peut désigner une personne non précisée.,On attend « quelque chose d’intéressant » : « quelque chose » est suivi de « de + adjectif ».,« quelqu’un de + adjectif » suit la construction donnée.,« un de ces jours » exprime un moment non précisé. ,fr,ADV-L19-MC01,,ADV-L19-MC01,ADV-L19-MC01,VERY_HARD,1.00,ADV-DIFFICULTY-v1.0,READY_FOR_IMPORT,BOOK_RULE_DERIVED,ADV-L19:book-p126-p127:indef-imprecision,openai-gpt-5.6-sol,openai-gpt-5.6-sol-qa,ADV|L19|ADV_L19_INDEF_IMPRECISION|INCORRECT_SENTENCE,NONE,,,,,ADV-TAXONOMY-v1.0,ADV-QTYPE-v1.0,ADV-COMPAT-v1.0,ADV-DISTRACTOR-v1.0,ADV-CONTENT-v1.0
