schema_version,external_id,question_revision,lesson_id,lesson_code,subtopic_id,subtopic_code,secondary_subtopic_ids,question_type,stem,stem_locale,option_a,option_b,option_c,option_d,option_locale,correct_option,full_explanation,explanation_a,explanation_b,explanation_c,explanation_d,explanation_locale,misconception_a_id,misconception_b_id,misconception_c_id,misconception_d_id,difficulty,difficulty_score_initial,difficulty_model_version,status,source_type,source_ref,author_id,reviewer_id,tags,media_type,media_uri,media_alt_text,media_transcript,media_source_ref,taxonomy_version,question_type_catalogue_version,compatibility_version,distractor_rules_version,content_version
ADV-QB-SCHEMA-v1.0,GMP-ADV-B050-Q001,1,ADV-L11,ADV_PASSIVE_VOICE,ADV-L11-ST01,ADV_L11_PASSIVE_BUILD,[],CLOZE_SINGLE,Complétez la transformation : « Le comité validera les résultats demain. » → « Les résultats ___ demain. »,fr,seront validés par le comité,seront validé par le comité,ont été validés par le comité,seraient validés par le comité,fr,A,Le COD « les résultats » devient sujet ; « être » reprend le futur simple et « validés » s’accorde au masculin pluriel.,این گزینه پاسخ درست است. Le COD « les résultats » devient sujet ; « être » reprend le futur simple et « validés » s’accorde au masculin pluriel.,این گزینه نادرست است. Le participe passé doit s’accorder avec « les résultats ».,این گزینه نادرست است. Le temps ne correspond plus au futur simple de la phrase active.,این گزینه نادرست است. Le conditionnel ne reprend pas le temps de la phrase active.,fa,,ADV-L11-MC01,ADV-L11-MC01,ADV-L11-MC01,EASY,0.25,ADV-DIFFICULTY-v1.0,READY_FOR_IMPORT,BOOK_RULE_DERIVED,ADV-L11:book-p080-p081:passive-build,openai-gpt-5.6-sol,openai-gpt-5.6-sol-qa,"[""ADV"",""L11"",""forme_passive"",""ADV_L11_PASSIVE_BUILD"",""b050-q001""]",,,,,,ADV-TAXONOMY-v1.0,ADV-QTYPE-v1.0,ADV-COMPAT-v1.0,ADV-DISTRACTOR-v1.0,ADV-CONTENT-v1.0
ADV-QB-SCHEMA-v1.0,GMP-ADV-B050-Q002,1,ADV-L11,ADV_PASSIVE_VOICE,ADV-L11-ST01,ADV_L11_PASSIVE_BUILD,[],CLOZE_CONTEXT,"Chaque matin, la technicienne vérifie les connexions avant l’ouverture. Dans la version passive au même temps : « Les connexions ___ avant l’ouverture. »",fr,étaient vérifiées par la technicienne,sont vérifiées par la technicienne,sont vérifié par la technicienne,ont vérifié par la technicienne,fr,B,Le présent actif devient « sont + participe passé » et le participe s’accorde avec « les connexions » au féminin pluriel.,این گزینه نادرست است. L’imparfait ne conserve pas le temps de la phrase active.,این گزینه پاسخ درست است. Le présent actif devient « sont + participe passé » et le participe s’accorde avec « les connexions » au féminin pluriel.,این گزینه نادرست است. Le participe passé n’est pas accordé avec le sujet féminin pluriel.,این گزینه نادرست است. La construction passive exige l’auxiliaire « être ».,fa,ADV-L11-MC01,,ADV-L11-MC01,ADV-L11-MC01,EASY,0.25,ADV-DIFFICULTY-v1.0,READY_FOR_IMPORT,BOOK_RULE_DERIVED,ADV-L11:book-p080-p081:passive-build,openai-gpt-5.6-sol,openai-gpt-5.6-sol-qa,"[""ADV"",""L11"",""forme_passive"",""ADV_L11_PASSIVE_BUILD"",""b050-q002""]",,,,,,ADV-TAXONOMY-v1.0,ADV-QTYPE-v1.0,ADV-COMPAT-v1.0,ADV-DISTRACTOR-v1.0,ADV-CONTENT-v1.0
ADV-QB-SCHEMA-v1.0,GMP-ADV-B050-Q003,1,ADV-L11,ADV_PASSIVE_VOICE,ADV-L11-ST01,ADV_L11_PASSIVE_BUILD,[],CORRECT_SENTENCE,Quelle phrase passive est correctement construite ?,fr,Les autorisations ont été délivré avant midi.,Les autorisations sont été délivrées avant midi.,Les autorisations ont été délivrées avant midi.,Les autorisations ont délivrées avant midi.,fr,C,"Le passé composé passif est bien formé par « ont été + participe passé », avec accord féminin pluriel.",این گزینه نادرست است. Le participe passé doit s’accorder avec « autorisations ».,این گزینه نادرست است. La combinaison « sont été » est incorrecte.,"این گزینه پاسخ درست است. Le passé composé passif est bien formé par « ont été + participe passé », avec accord féminin pluriel.",این گزینه نادرست است. L’auxiliaire « être » manque dans la forme passive.,fa,ADV-L11-MC01,ADV-L11-MC01,,ADV-L11-MC01,EASY,0.25,ADV-DIFFICULTY-v1.0,READY_FOR_IMPORT,BOOK_RULE_DERIVED,ADV-L11:book-p080-p081:passive-build,openai-gpt-5.6-sol,openai-gpt-5.6-sol-qa,"[""ADV"",""L11"",""forme_passive"",""ADV_L11_PASSIVE_BUILD"",""b050-q003""]",,,,,,ADV-TAXONOMY-v1.0,ADV-QTYPE-v1.0,ADV-COMPAT-v1.0,ADV-DISTRACTOR-v1.0,ADV-CONTENT-v1.0
ADV-QB-SCHEMA-v1.0,GMP-ADV-B050-Q004,1,ADV-L11,ADV_PASSIVE_VOICE,ADV-L11-ST01,ADV_L11_PASSIVE_BUILD,[],CONJUGATION,Mettez au passif en conservant le futur : « Le jury choisira deux finalistes. » Quelle forme verbale convient avec « Deux finalistes » ?,fr,seront choisi,ont été choisis,seraient choisis,seront choisis,fr,D,« être » est au futur simple et « choisis » s’accorde avec le sujet masculin pluriel.,این گزینه نادرست است. Le pluriel du participe passé manque.,"این گزینه نادرست است. Cette forme est au passé composé, pas au futur simple.",این گزینه نادرست است. Cette forme est au conditionnel présent.,این گزینه پاسخ درست است. « être » est au futur simple et « choisis » s’accorde avec le sujet masculin pluriel.,fa,ADV-L11-MC01,ADV-L11-MC01,ADV-L11-MC01,,EASY,0.25,ADV-DIFFICULTY-v1.0,READY_FOR_IMPORT,BOOK_RULE_DERIVED,ADV-L11:book-p080-p081:passive-build,openai-gpt-5.6-sol,openai-gpt-5.6-sol-qa,"[""ADV"",""L11"",""forme_passive"",""ADV_L11_PASSIVE_BUILD"",""b050-q004""]",,,,,,ADV-TAXONOMY-v1.0,ADV-QTYPE-v1.0,ADV-COMPAT-v1.0,ADV-DISTRACTOR-v1.0,ADV-CONTENT-v1.0
ADV-QB-SCHEMA-v1.0,GMP-ADV-B050-Q005,1,ADV-L11,ADV_PASSIVE_VOICE,ADV-L11-ST01,ADV_L11_PASSIVE_BUILD,[],CONJUGATION,Transformez le groupe verbal : « La responsable avait signé les conventions avant midi. » → « Les conventions ___ avant midi. »,fr,avaient été signées,ont été signées,avaient été signé,étaient signées,fr,A,Le plus-que-parfait est conservé dans « avaient été » et « signées » s’accorde avec « conventions ».,این گزینه پاسخ درست است. Le plus-que-parfait est conservé dans « avaient été » et « signées » s’accorde avec « conventions ».,این گزینه نادرست است. Le passé composé ne conserve pas le plus-que-parfait actif.,این گزینه نادرست است. Le participe passé doit être au féminin pluriel.,این گزینه نادرست است. Cette forme ne rend pas le plus-que-parfait de la phrase active.,fa,,ADV-L11-MC01,ADV-L11-MC01,ADV-L11-MC01,MEDIUM,0.5,ADV-DIFFICULTY-v1.0,READY_FOR_IMPORT,BOOK_RULE_DERIVED,ADV-L11:book-p080-p081:passive-build,openai-gpt-5.6-sol,openai-gpt-5.6-sol-qa,"[""ADV"",""L11"",""forme_passive"",""ADV_L11_PASSIVE_BUILD"",""b050-q005""]",,,,,,ADV-TAXONOMY-v1.0,ADV-QTYPE-v1.0,ADV-COMPAT-v1.0,ADV-DISTRACTOR-v1.0,ADV-CONTENT-v1.0
ADV-QB-SCHEMA-v1.0,GMP-ADV-B050-Q006,1,ADV-L11,ADV_PASSIVE_VOICE,ADV-L11-ST01,ADV_L11_PASSIVE_BUILD,[],TENSE_CHOICE,L’actif est à l’imparfait : « Les agents contrôlaient les accès chaque soir. » Quelle forme passive garde ce temps ?,fr,Les accès ont été contrôlés chaque soir.,Les accès étaient contrôlés chaque soir.,Les accès seront contrôlés chaque soir.,Les accès auraient été contrôlés chaque soir.,fr,B,L’imparfait de l’actif est transféré sur « être » : « étaient contrôlés ».,این گزینه نادرست است. Cette phrase est au passé composé.,این گزینه پاسخ درست است. L’imparfait de l’actif est transféré sur « être » : « étaient contrôlés ».,این گزینه نادرست است. Cette phrase est au futur simple.,این گزینه نادرست است. Cette phrase est au conditionnel passé.,fa,ADV-L11-MC01,,ADV-L11-MC01,ADV-L11-MC01,MEDIUM,0.5,ADV-DIFFICULTY-v1.0,READY_FOR_IMPORT,BOOK_RULE_DERIVED,ADV-L11:book-p080-p081:passive-build,openai-gpt-5.6-sol,openai-gpt-5.6-sol-qa,"[""ADV"",""L11"",""forme_passive"",""ADV_L11_PASSIVE_BUILD"",""b050-q006""]",,,,,,ADV-TAXONOMY-v1.0,ADV-QTYPE-v1.0,ADV-COMPAT-v1.0,ADV-DISTRACTOR-v1.0,ADV-CONTENT-v1.0
ADV-QB-SCHEMA-v1.0,GMP-ADV-B050-Q007,1,ADV-L11,ADV_PASSIVE_VOICE,ADV-L11-ST01,ADV_L11_PASSIVE_BUILD,[],CLOZE_CONTEXT,"Le règlement dit : « On doit archiver ces dossiers pendant dix ans. » À la forme passive, la transformation porte sur l’infinitif : « Ces dossiers doivent ___ pendant dix ans. »",fr,sont archivés,avoir archivés,être archivés,être archivé,fr,C,"Avec « devoir », la leçon place la transformation passive sur l’infinitif : « devoir être + participe passé ».",این گزینه نادرست است. Cette réponse supprime le verbe modal « devoir ».,"این گزینه نادرست است. La construction passive demande « être », non « avoir ».","این گزینه پاسخ درست است. Avec « devoir », la leçon place la transformation passive sur l’infinitif : « devoir être + participe passé ».",این گزینه نادرست است. Le participe passé doit s’accorder avec « ces dossiers » au pluriel.,fa,ADV-L11-MC01,ADV-L11-MC01,,ADV-L11-MC01,MEDIUM,0.5,ADV-DIFFICULTY-v1.0,READY_FOR_IMPORT,BOOK_RULE_DERIVED,ADV-L11:book-p080-p081:passive-build,openai-gpt-5.6-sol,openai-gpt-5.6-sol-qa,"[""ADV"",""L11"",""forme_passive"",""ADV_L11_PASSIVE_BUILD"",""b050-q007""]",,,,,,ADV-TAXONOMY-v1.0,ADV-QTYPE-v1.0,ADV-COMPAT-v1.0,ADV-DISTRACTOR-v1.0,ADV-CONTENT-v1.0
ADV-QB-SCHEMA-v1.0,GMP-ADV-B050-Q008,1,ADV-L11,ADV_PASSIVE_VOICE,ADV-L11-ST01,ADV_L11_PASSIVE_BUILD,[],INCORRECT_SENTENCE,Une seule phrase contient une erreur de forme passive. Laquelle ?,fr,Le contrat sera signé demain.,Les pièces ont été classées hier.,La réponse est attendue cet après-midi.,Les factures seront vérifié avant l’envoi.,fr,D,"Avec le sujet pluriel « les factures », le participe doit être « vérifiées ».",این گزینه نادرست است. Le futur passif et l’accord masculin singulier sont corrects.,این گزینه نادرست است. Le passé composé passif et l’accord féminin pluriel sont corrects.,این گزینه نادرست است. Le présent passif et l’accord féminin singulier sont corrects.,"این گزینه پاسخ درست است. Avec le sujet pluriel « les factures », le participe doit être « vérifiées ».",fa,ADV-L11-MC01,ADV-L11-MC01,ADV-L11-MC01,,MEDIUM,0.5,ADV-DIFFICULTY-v1.0,READY_FOR_IMPORT,BOOK_RULE_DERIVED,ADV-L11:book-p080-p081:passive-build,openai-gpt-5.6-sol,openai-gpt-5.6-sol-qa,"[""ADV"",""L11"",""forme_passive"",""ADV_L11_PASSIVE_BUILD"",""b050-q008""]",,,,,,ADV-TAXONOMY-v1.0,ADV-QTYPE-v1.0,ADV-COMPAT-v1.0,ADV-DISTRACTOR-v1.0,ADV-CONTENT-v1.0
ADV-QB-SCHEMA-v1.0,GMP-ADV-B050-Q009,1,ADV-L11,ADV_PASSIVE_VOICE,ADV-L11-ST01,ADV_L11_PASSIVE_BUILD,[],ERROR_LOCATION,"Dans « Les demandes / ont été / examiné / hier matin », quel segment doit être corrigé ?",fr,examiné,Les demandes,ont été,hier matin,fr,A,Le participe passé doit s’accorder avec « les demandes » : « examinées ».,این گزینه پاسخ درست است. Le participe passé doit s’accorder avec « les demandes » : « examinées ».,این گزینه نادرست است. Le groupe sujet féminin pluriel est correct.,این گزینه نادرست است. Le passé composé passif est correctement construit.,این گزینه نادرست است. Le complément de temps est correct.,fa,,ADV-L11-MC01,ADV-L11-MC01,ADV-L11-MC01,MEDIUM,0.5,ADV-DIFFICULTY-v1.0,READY_FOR_IMPORT,BOOK_RULE_DERIVED,ADV-L11:book-p080-p081:passive-build,openai-gpt-5.6-sol,openai-gpt-5.6-sol-qa,"[""ADV"",""L11"",""forme_passive"",""ADV_L11_PASSIVE_BUILD"",""b050-q009""]",,,,,,ADV-TAXONOMY-v1.0,ADV-QTYPE-v1.0,ADV-COMPAT-v1.0,ADV-DISTRACTOR-v1.0,ADV-CONTENT-v1.0
ADV-QB-SCHEMA-v1.0,GMP-ADV-B050-Q010,1,ADV-L11,ADV_PASSIVE_VOICE,ADV-L11-ST01,ADV_L11_PASSIVE_BUILD,[],CONJUGATION,Transformez avec « pouvoir » : « Le laboratoire peut analyser ces échantillons. » → « Ces échantillons ___ par le laboratoire. »,fr,peuvent analyser,peuvent être analysés,sont pouvoir analysés,peuvent être analysé,fr,B,Le modal reste conjugué et la transformation passive se fait sur l’infinitif « être analysés ».,این گزینه نادرست است. La forme reste active et ne met pas « ces échantillons » comme objet subi.,این گزینه پاسخ درست است. Le modal reste conjugué et la transformation passive se fait sur l’infinitif « être analysés ».,این گزینه نادرست است. Cette construction avec « être + pouvoir » est incorrecte.,این گزینه نادرست است. Le participe passé doit être au masculin pluriel.,fa,ADV-L11-MC01,,ADV-L11-MC01,ADV-L11-MC01,MEDIUM,0.5,ADV-DIFFICULTY-v1.0,READY_FOR_IMPORT,BOOK_RULE_DERIVED,ADV-L11:book-p080-p081:passive-build,openai-gpt-5.6-sol,openai-gpt-5.6-sol-qa,"[""ADV"",""L11"",""forme_passive"",""ADV_L11_PASSIVE_BUILD"",""b050-q010""]",,,,,,ADV-TAXONOMY-v1.0,ADV-QTYPE-v1.0,ADV-COMPAT-v1.0,ADV-DISTRACTOR-v1.0,ADV-CONTENT-v1.0
